parent_sctid,parent_sctid_2,parent_sctid_3,concept_sctid,fsn,pref_term,kp_clinician_display_name,icd9-CM,icd10-CM,kp_patient_display_name
,,,19034001,Hyperparathyroidism due to renal insufficiency (disorder),Hyperparathyroidism due to renal insufficiency,"Secondary hyperparathyroidism, renal origin",588.81,N25.81,Hyperparathyroidism due to renal insufficiency
,,,20165001,Hyperphosphatemia (disorder),Hyperphosphatemia,Hyperphosphatemia,275.3,E83.39,Hyperphosphatemia (high phosphate level)
,,,49765009,Hyperpigmentation of skin (disorder),Hyperpigmentation of skin,Hyperpigmentation of skin,709.00,L81.9,Hyperpigmentation (darkening) of skin
,,,89452002,Hyperplastic polyp of intestine (disorder),Hyperplastic polyp of intestine,"Hyperplastic polyp, colon",211.3,K63.5,"Polyp colon, hyperplastic"
,,,237662005,Hyperprolactinemia (disorder),Hyperprolactinemia,Hyperprolactinemia,253.1,E22.1,Hyperprolactinemia (high prolactin hormone level)
,,,77692006,Hypersomnia (disorder),Hypersomnia,Hypersomnia,780.54,G47.10,Hypersomnia (excessive sleeping)
38481006,420279001,28119000,140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder),Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,DM 2 w diabetic CKD stage 3 (gfr 30-59) w HTN,250.40/403.90/585.3,E11.22/I12.9/N18.3,"Diabetes type 2, moderate chronic kidney disease"
38481006,420279001,28119000,140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder),Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus,DM 2 w diabetic CKD stage 4 (gfr 15-29) w HTN,250.40/403.90/585.4,E11.22/I12.9/N18.4,"Diabetes type 2, severe chronic kidney disease"
,,,38341003,"Hypertensive disorder, systemic arterial (disorder)",Hypertensive disorder,HTN (Hypertension),401.9,I10,Hypertension (high blood pressure)
38341003,,,132721000119104,Hypertensive emergency (disorder),Hypertensive emergency,Hypertensive emergency,401.9,I10,HYPERTENSIVE EMERGENCY
,,,64715009,Hypertensive heart disease (disorder),Hypertensive heart disease,Hypertensive heart disease,402.90,I11.9,Hypertensive heart disease
,,,46113002,Hypertensive heart failure (disorder),Hypertensive heart failure,"Hypertensive heart disease, w CHF",402.91/428.0,I11.0/I50.9,Hypertensive heart disease with heart failure
,,,443482000,Hypertensive urgency (disorder),Hypertensive urgency,Hypertensive urgency,401.9,I10,HYPERTENSIVE URGENCY
,,,34486009,Hyperthyroidism (disorder),Hyperthyroidism,Hyperthyroidism,242.90,E05.90,Hyperthyroidism (high thyroid)
,,,302870006,Hypertriglyceridemia (disorder),Hypertriglyceridemia,Hypertriglyceridemia,272.1,E78.1,Hypertriglyceridemia (high blood fats)
,,,45227007,Hypertrophic obstructive cardiomyopathy (disorder),Hypertrophic obstructive cardiomyopathy,Hypertrophic obstructive cardiomyopathy,425.11,I42.1,Hypertrophic obstructive cardiomyopathy
,,,19843006,Hypertrophic scar (disorder),Hypertrophic scar,Hypertrophic scar,701.4,L91.0,Hypertrophic scar
,,,111591002,Hypertrophy of adenoids (disorder),Hypertrophy of adenoids,Adenoid hypertrophy,474.12,J35.2,Hypertrophy (enlargement) of adenoid
,,,66622006,Hypertrophy of both palatine AND pharyngeal tonsils (disorder),Hypertrophy of tonsils AND adenoids,Tonsil and adenoid hypertrophy,474.10,J35.3,Hypertrophy (enlargement) of tonsil and adenoid
,,,372281005,Hypertrophy of breast (disorder),Hypertrophy of breast,Breast hypertrophy,611.1,N62,Hypertrophy of breast
,,,17467004,Hypertrophy of nasal turbinates (disorder),Hypertrophy of nasal turbinates,Hypertrophy of nasal turbinates,478.0,J34.3,Hypertrophy (enlargement) of nasal turbinates
,,,46689006,Hypertrophy of tonsils (disorder),Hypertrophy of tonsils,Tonsil hypertrophy,474.11,J35.1,Hypertrophy (enlargement) of tonsil
,,,35885006,Hyperuricemia (disorder),Hyperuricemia,Hyperuricemia,790.6,E79.0,Hyperuricemia (high uric acid in blood)
,,,21639008,Hypervolemia (disorder),Hypervolemia,Hypervolemia,276.69,E87.70,Hypervolemia (fluid overload)
,,,268640002,Hypnotic or anxiolytic dependence (disorder),Hypnotic or anxiolytic dependence,"Sedative, hypnotic or anxiolytic dependence",304.10,F13.20,"Sedative, hypnotic or anxiolytic dependence"
,,,119247004,Hypoalbuminemia (disorder),Hypoalbuminemia,Hypoalbuminemia,273.8,E88.09,Hypoalbuminemia (low blood albumin level)
119247004,,,97361000119109,Hypoalbuminemia due to protein calorie malnutrition (disorder),Hypoalbuminemia due to protein calorie malnutrition,Protein calorie malnutrition w hypoalbuminemia,263.9/273.8,E46/E88.09,Protein-calorie malnutrition with hypoalbuminemia
,,,5291005,Hypocalcemia (disorder),Hypocalcemia,Hypocalcemia,275.41,E83.51,Hypocalcemia (low calcium level)
,,,302866003,Hypoglycemia (disorder),Hypoglycemia,Hypoglycemia,251.2,E16.2,Hypoglycemia (low blood sugar)
422014003,237633009,,120731000119103,Hypoglycemia due to type 2 diabetes mellitus (disorder),Hypoglycemia due to type 2 diabetes mellitus,DM 2 w hypoglycemia,250.80,E11.649,Diabetes type 2 with hypoglycemia
,,,43339004,Hypokalemia (disorder),Hypokalemia,Hypokalemia,276.8,E87.6,Hypokalemia (low potassium level)
,,,190855004,Hypomagnesemia (disorder),Hypomagnesemia,Hypomagnesemia,275.2,E83.42,Hypomagnesemia (low magnesium level)
,,,89627008,Hyponatremia (disorder),Hyponatremia,Hyponatremia,276.1,E87.1,Hyponatremia (low sodium level)
,,,4996001,Hypophosphatemia (disorder),Hypophosphatemia,Hypophosphatemia,275.3,E83.39,Hypophosphatemia (low phosphorus level)
,,,416010008,Hypospadias (disorder),Hypospadias,Hypospadias,752.61,Q54.9,Hypospadias
,,,386689009,Hypothermia (finding),Hypothermia,Hypothermia,991.6,T68.XXXA,Hypothermia
,,,40930008,Hypothyroidism (disorder),Hypothyroidism,Hypothyroidism,244.9,E03.9,Hypothyroidism (low thyroid)
,,,40539002,Hypothyroidism following radioiodine therapy (disorder),Hypothyroidism following radioiodine therapy,Postradioiodine therapy hypothyroidism,244.1,E89.0,Hypothyroidism (low thyroid) after radioiodine therapy
,,,428165003,Hypothyroidism in pregnancy (disorder),Hypothyroidism in pregnancy,Hypothyroid in pregnancy,648.13/244.9,O99.280/E03.9,Hypothyroid (low thyroid) in pregnancy
,,,389087006,Hypoxemia (disorder),Hypoxemia,Hypoxemia,799.02,R09.02,Hypoxemia (low blood oxygen)
409622000,,,10676831000119101,Hypoxemic respiratory failure (disorder),Hypoxemic respiratory failure,Hypoxemic respiratory failure,518.81,J96.91,Hypoxemic respiratory failure
,,,389086002,Hypoxia (disorder),Hypoxia,Hypoxia,799.02,R09.02,Hypoxia (low oxygen levels)
,,,22722001,Idiopathic peripheral neuropathy (disorder),Idiopathic peripheral neuropathy,Idiopathic peripheral neuropathy,356.9,G60.9,"Neuropathy (nerve damage), peripheral"
,,,203639008,Idiopathic scoliosis (disorder),Idiopathic scoliosis,Idiopathic scoliosis,737.30,M41.20,"Scoliosis, idiopathic"
,,,32273002,Idiopathic thrombocytopenic purpura (disorder),Idiopathic thrombocytopenic purpura,Idiopathic thrombocytopenic purpura,287.31,D69.3,Idiopathic thrombocytopenia purpura (ITP)
,,,42265009,Idiopathic urticaria (disorder),Idiopathic urticaria,Idiopathic urticaria,708.1,L50.1,"Urticaria (hives), idiopathic"
,,,302111002,Ileostomy present (finding),Ileostomy present,Presence of ileostomy,V44.2,Z93.2,Presence of ileostomy (artificial opening into intestine)
423849004,,,15637271000119105,Iliotibial band friction syndrome of bilateral knees (disorder),Iliotibial band friction syndrome of bilateral knees,Bilat iliotibial band syndrome,728.89,M76.31/M76.32,Bilateral iliotibial band syndrome
423849004,,,310381000119102,Iliotibial band friction syndrome of left knee (disorder),Iliotibial band friction syndrome of left knee,Left iliotibial band syndrome,728.89,M76.32,Left iliotibial band syndrome
423849004,,,310391000119104,Iliotibial band friction syndrome of right knee (disorder),Iliotibial band friction syndrome of right knee,Right iliotibial band syndrome,728.89,M76.31,Right iliotibial band syndrome
,,,442182001,Imaging of gastrointestinal tract abnormal (finding),Imaging of gastrointestinal tract abnormal,Abnl gastrointestinal tract imaging,793.4,R93.3,Abnormal gastrointestinal tract imaging
,,,38013005,Immunosuppression (finding),Immunosuppression,Immunosuppression,279.9,D89.9,Immunosuppression
,,,9414007,Impaired glucose tolerance (disorder),Impaired glucose tolerance,Impaired glucose tolerance,790.22,R73.02,Impaired glucose tolerance
,,,82971005,Impaired mobility (finding),Impaired mobility,Impaired mobility,V49.89,Z78.9,Impaired mobility
,,,48277006,Impetigo (disorder),Impetigo,Impetigo,684,L01.00,Impetigo (bacterial skin condition)
239960007,,,15636331000119103,Impingement syndrome of bilateral shoulders (disorder),Impingement syndrome of bilateral shoulders,Impingement syndrome of bilat shoulders,726.2,M75.41/M75.42,Impingement syndrome of bilateral shoulders
239960007,,,310411000119104,Impingement syndrome of left shoulder (disorder),Impingement syndrome of left shoulder,Impingement syndrome of left shoulder,726.2,M75.42,Impingement syndrome of left shoulder
239960007,,,310401000119102,Impingement syndrome of right shoulder (disorder),Impingement syndrome of right shoulder,Impingement syndrome of right shoulder,726.2,M75.41,Impingement syndrome of right shoulder
,,,397803000,Impotence (disorder),Impotence,Impotence,607.84,N52.9,Impotence
,,,198036002,Impotence of organic origin (disorder),Impotence of organic origin,Organic erectile dysfunction,607.84,N52.9,"Erectile dysfunction, organic"
,,,66347000,Impulse control disorder (disorder),Impulse control disorder,Impulse control disorder,312.30,F63.9,Impulse control disorder
,,,428697002,Inactive tuberculosis of lung (disorder),Inactive tuberculosis of lung,Latent TB of lung,011.80,A15.0,"Tuberculosis (TB) lung, latent"
162512009,,,1181000119106,Inappropriate diet and eating habits (finding),Inappropriate diet and eating habits,Inappropriate diet and eating habits,V69.1,Z72.4,Inappropriate diet and eating habits
,,,236037000,Incisional hernia (disorder),Incisional hernia,Incisional hernia,553.21,K43.2,Incisional hernia
,,,16863000,Incomplete abortion (disorder),Incomplete abortion,Incomplete SAB,634.91,O03.4,Pregnancy loss
,,,249288007,Incomplete emptying of bladder (finding),Incomplete emptying of bladder,Incomplete bladder emptying,788.21,R39.14,Incomplete bladder emptying
249288007,,,117551000119108,Incomplete emptying of bladder due to benign prostatic hypertrophy (finding),Incomplete emptying of bladder due to benign prostatic hypertrophy,BPH w incomplete bladder emptying,600.01/788.21,N40.1/R39.14,Benign prostatic hypertrophy (enlarged prostate)
,,,72042002,Incontinence of feces (finding),Incontinence of feces,Fecal incontinence,787.60,R15.9,Incontinent of feces
,,,432352001,Increased creatine kinase level (finding),Increased creatine kinase level,Elevated CPK,790.5,R74.8,Elevated CPK
,,,162116003,Increased frequency of urination (finding),Increased frequency of urination,Urinary frequency,788.41,R35.0,Urinary frequency
442756004,,,160931000119108,Increased transaminase level (finding),Increased transaminase level,Elevated transaminase,790.4,R74.0,Elevated transaminase measurement
,,,162031009,Indigestion (finding),Indigestion,Dyspepsia,536.8,R10.13,Dyspepsia (indigestion)
,,,1335005,Induratio penis plastica (disorder),Induratio penis plastica,Peyronie disease,607.85,N48.6,Peyronie's disease
,,,161838002,Infant feeding problem (finding),Infant feeding problem,Feeding problem in infant,783.3,R63.3,Feeding problem in infant
364737004,,,18311000119109,Infant of diabetic mother (finding),Infant of diabetic mother,Infant of diabetic mother,775.0,P70.1,Infant of diabetic mother
,,,35363006,Infantile colic (finding),Infantile colic,Infantile colic,789.7,R10.83,"Colic, infantile"
409796004,,,32811000119109,Infection due to multiple drug resistant microorganisms (disorder),Infection due to multiple drug resistant microorganisms,Infection resistant to multiple drugs,V09.91,B99.9/Z16.30,Infection with microorganisms resistant to drugs
,,,371061003,Infection of bladder catheter (disorder),Infection of bladder catheter,UTI due to indwelling urinary catheter,996.64,T83.51XA/N39.0,Urinary tract infection due to urinary catheter
426084006,,,93211000119105,Infection with microorganisms resistant to cephalosporins and other beta lactams (disorder),Infection with microorganisms resistant to cephalosporins and other beta lactams,Infection resistant to cephalosporins,136.9/V09.1,B99.9/Z16.19,Infection with bacteria resistant to beta-lactam drug
,,,271558008,Infectious mononucleosis (disorder),Infectious mononucleosis,Infectious mononucleosis,075,B27.90,Infectious mononucleosis (mono)
397578001,,,216051000119102,Inferior vena cava filter present (finding),Inferior vena cava filter present,Presence of inferior vena cava filter,V45.89,Z95.828,HAS HAD INFERIOR VENA CAVA FILTER PLACEMENT
,,,128869009,Infestation by Sarcoptes scabiei var hominis (disorder),Infestation by Sarcoptes scabiei var hominis,Scabies,133.0,B86,Scabies
448952004,,,15635761000119103,Infiltrating ductal carcinoma of bilateral female breasts (disorder),Infiltrating ductal carcinoma of bilateral female breasts,"Female breast infiltrating ductal carcinoma, bilat breasts",174.9,C50.911/C50.912,"Female breast infiltrating ductal carcinoma, bilateral breasts"
,,,422399001,"Infiltrating ductal carcinoma of breast, stage 1 (finding)","Infiltrating ductal carcinoma of breast, stage 1","Female breast infiltrating ductal carcinoma, stage 1",174.9,C50.919,Breast cancer
,,,422479008,"Infiltrating ductal carcinoma of breast, stage 2 (finding)","Infiltrating ductal carcinoma of breast, stage 2","Female breast infiltrating ductal carcinoma, stage 2",174.9,C50.919,Breast cancer
448952004,,,1080101000119105,Infiltrating ductal carcinoma of left female breast (disorder),Infiltrating ductal carcinoma of left female breast,"Female breast infiltrating ductal carcinoma, left breast",174.9,C50.912,"Female breast infiltrating ductal carcinoma, L breast"
448952004,,,1080181000119102,Infiltrating ductal carcinoma of right female breast (disorder),Infiltrating ductal carcinoma of right female breast,"Female breast infiltrating ductal carcinoma, right breast",174.9,C50.911,"Female breast infiltrating ductal carcinoma, R breast"
,,,128241005,Inflammatory disease of liver (disorder),Inflammatory disease of liver,Hepatitis,573.3,K75.9,Hepatitis
,,,417373000,Inflammatory polyarthropathy (disorder),Inflammatory polyarthropathy,Inflammatory polyarthritis,714.9,M06.4,Inflammatory polyarthritis
,,,6142004,Influenza (disorder),Influenza,Influenza,487.1,J11.1,Influenza (flu)
,,,95891005,Influenza-like illness (finding),Influenza-like illness,Influenza like illness,487.1,J11.1,Influenza (flu) like illness
,,,400097005,Ingrowing nail (disorder),Ingrowing nail,Ingrown nail,703.0,L60.0,Ingrown nail
,,,102570003,Inguinal pain (finding),Inguinal pain,Groin pain,789.09,R10.30,Groin pain
414786004,,,49651000119102,Innocent murmur (finding),Innocent murmur,Innocent murmur,785.2,R01.0,Innocent murmur
,,,193462001,Insomnia (disorder),Insomnia,Insomnia,780.52,G47.00,Insomnia
289799006,289799006,298854003,1075541000119104,Instability of left shoulder joint (finding),Instability of left shoulder joint,Instability of left shoulder joint,718.81,M25.312,Instability of left shoulder joint
298854003,,,1075531000119108,Instability of right shoulder joint (finding),Instability of right shoulder joint,Instability of right shoulder joint,718.81,M25.311,Instability of right shoulder joint
373062004,,,561000119109,Insulin pump status (finding),Insulin pump status,Presence of insulin pump,V45.85,Z96.41,Presence of insulin pump
,,,237599002,Insulin-treated non-insulin-dependent diabetes mellitus (disorder),Insulin-treated non-insulin-dependent diabetes mellitus,DM 2 on insulin,250.00/V58.67,E11.9/Z79.4,Diabetes type 2 on insulin
,,,228156007,Intellectual functioning disability (finding),Intellectual functioning disability,Intellectual disability,319,F79,Intellectual disability
,,,64996003,Intermenstrual bleeding - irregular (finding),Intermenstrual bleeding - irregular,Metrorrhagia,626.6,N92.1,Metrorrhagia (irregular menstrual bleeding)
,,,427603009,Intermittent asthma (disorder),Intermittent asthma,Intermittent asthma,493.90,J45.20,"Asthma, intermittent"
427603009,,,641000119106,"Intermittent asthma, well controlled (disorder)","Intermittent asthma, well controlled","Intermittent asthma, controlled",493.90,J45.20,"Asthma, intermittent controlled"
,,,40987004,Intermittent explosive disorder (disorder),Intermittent explosive disorder,Intermittent explosive disorder,312.34,F63.81,Intermittent explosive disorder
,,,90458007,Internal hemorrhoids (disorder),Internal hemorrhoids,Internal hemorrhoid,455.0,K64.8,Internal hemorrhoid
197834003,,,5191000119106,Interstitial cystitis (disorder),Interstitial cystitis,Interstitial cystitis,595.1,N30.10,INTERSTITIAL CYSTITIS
,,,233703007,Interstitial lung disease (disorder),Interstitial lung disease,Interstitial lung disease,515,J84.9,Interstitial lung disease
,,,58759008,Intertrigo (disorder),Intertrigo,Intertrigo,695.89,L30.4,Intertrigo (inflammation in body folds)
,,,73589001,Intervertebral disc prolapse (disorder),Intervertebral disc prolapse,Intervertebral disc herniation,722.2,M51.9,Intervertebral disc herniation
,,,1386000,Intracranial hemorrhage (disorder),Intracranial hemorrhage,Intracranial hemorrhage,432.9,I62.9,Intracranial hemorrhage
,,,302820008,Intracranial meningioma (disorder),Intracranial meningioma,"Meningioma, brain",225.2,D32.0,Meningioma of brain
109889007,,,15636951000119108,Intraductal carcinoma in situ of bilateral breasts (disorder),Intraductal carcinoma in situ of bilateral breasts,"Ductal carcinoma in situ, bilat breasts",233.0,D05.11/D05.12,"Ductal carcinoma in situ, bilateral breasts"
109889007,,,1079811000119104,Intraductal carcinoma in situ of left breast (disorder),Intraductal carcinoma in situ of left breast,"Ductal carcinoma in situ, left breast",233.0,D05.12,"Ductal carcinoma in situ, L breast"
109889007,,,1079821000119106,Intraductal carcinoma in situ of right breast (disorder),Intraductal carcinoma in situ of right breast,"Ductal carcinoma in situ, right breast",233.0,D05.11,"Ductal carcinoma in situ, R breast"
,,,93616000,Intramural leiomyoma of uterus (disorder),Intramural leiomyoma of uterus,Intramural uterine fibroid,218.1,D25.1,"Leiomyoma uterus, intramural"
,,,312081001,Intrauterine device contraception (finding),IUD contraception,Presence of iud,V45.51,Z97.5,Presence of intrauterine device (iud)
,,,87522002,Iron deficiency anemia (disorder),Iron deficiency anemia,Iron deficiency anemia,280.9,D50.9,"Anemia, iron deficiency"
,,,199248002,Iron deficiency anemia of pregnancy (disorder),Iron deficiency anemia of pregnancy,Iron deficiency anemia in pregnancy,648.23,O99.019/D50.9,Iron deficiency anemia in pregnancy
,,,234340006,Iron deficiency without anemia (disorder),Iron deficiency without anemia,Iron deficiency wo anemia,269.3,E61.1,Iron deficiency without anemia
,,,80182007,Irregular periods (finding),Irregular periods,Irregular menstrual cycle,626.4,N92.6,Irregular menstrual cycle
,,,10743008,Irritable bowel syndrome (disorder),Irritable bowel syndrome,Irritable bowel syndrome,564.1,K58.9,Irritable bowel syndrome
,,,30588004,Ischemic colitis (disorder),Ischemic colitis,Ischemic colitis,557.9,K55.9,Ischemic colitis
,,,422504002,Ischemic stroke (disorder),Ischemic stroke,Ischemic stroke,434.91,I63.9,Ischemic stroke
422504002,371632003,,140911000119109,Ischemic stroke with coma (disorder),Ischemic stroke with coma,Ischemic stroke w coma,434.91/780.01,I63.9/R40.20,Acute ischemic stroke with coma
422504002,,,140921000119102,Ischemic stroke without coma (disorder),Ischemic stroke without coma,Ischemic stroke wo coma,434.91,I63.9,Acute ischemic stroke
,,,418363000,Itching of skin (finding),Itching of skin,Pruritus,698.9,L29.9,Pruritus (itching)
,,,18165001,Jaundice (finding),Jaundice,Jaundice,782.4,R17,Jaundice
,,,57676002,Joint pain (finding),Joint pain,Joint pain,719.40,M25.50,Joint pain
,,,84445001,Joint stiffness (finding),Joint stiffness,Stiffness of joint,719.50,M25.60,Stiffness of joint
,,,72047008,Juvenile osteochondrosis of tibial tubercle (disorder),Osgood Schlatter disease,Osgood Schlatters disease,732.4,M92.50,Osgood schlatters disease
,,,420270002,Ketoacidosis in type I diabetes mellitus (disorder),Ketoacidosis in type I diabetes mellitus,DM 1 w diabetic ketoacidosis,250.11,E10.10,Diabetes type 1 with ketoacidosis
,,,421750000,Ketoacidosis in type II diabetes mellitus (disorder),Ketoacidosis in type II diabetes mellitus,DM 2 w diabetic ketoacidosis,250.12,E11.69/E87.2,"Diabetes, type 2 with ketoacidosis"
,,,95570007,Kidney stone (disorder),Kidney stone,Renal calculus,592.0,N20.0,Calculus of kidney (kidney stone)
,,,414564002,Kyphosis deformity of spine (disorder),Kyphosis deformity of spine,Kyphosis,737.10,M40.209,Kyphosis
,,,276789009,Labile hypertension (disorder),Labile hypertension,White coat syndrome,796.2,R03.0,WHITE COAT SYNDROME
284549007,,,10959041000119109,Laceration of left hand (disorder),Laceration of left hand,Left hand laceration,882.0,S61.412A,Left hand laceration
284549007,,,10971051000119107,Laceration of right hand (disorder),Laceration of right hand,Right hand laceration,882.0,S61.411A,Right hand laceration
,,,91273001,Lactic acidosis (disorder),Lactic acidosis,Lactic acidosis,276.2,E87.2,Lactic acidosis
,,,267425008,Lactose intolerance (disorder),Lactose intolerance,Lactose intolerance,271.3,E73.9,Lactose intolerance
118188004,,,15635491000119102,Large for gestational age newborn (finding),Large for gestational age newborn,Large for gestational age newborn,766.1,P08.0,Large for gestational age newborn
,,,80515008,Large liver (disorder),Large liver,Hepatomegaly,789.1,R16.0,Hepatomegaly (enlarged liver)
428087005,,,131201000119108,Large physiologic cupping of optic disc (finding),Large physiologic cupping of optic disc,"Physiologic optic disc cupping, large",V72.0,Z01.00,Optic nerve cupping
,,,427780002,Laryngitis due to gastroesophageal reflux (disorder),Laryngitis due to gastroesophageal reflux,Reflux laryngitis,464.00/530.81,J04.0/K21.9,Reflux laryngitis
,,,38086007,Laryngomalacia (disorder),Laryngomalacia,Laryngomalacia,748.3,Q31.5,Laryngomalacia
195239002,,,1131000119105,Late effects of cerebrovascular accident (disorder),Late effects of cerebrovascular accident,Late effect of stroke,438.9,I69.30,Late effect of stroke
,,,161129001,Learning difficulties (finding),Learning difficulties,Learning difficulties,315.2,F81.9,Learning difficulties
11654001,,,301691000119102,Left achilles tendonitis (disorder),Left achilles tendonitis,Tendinitis of left Achilles tendon,726.71,M76.62,Left Achilles tendinitis
3110003,,,1088111000119106,Left acute otitis media (disorder),Left acute otitis media,Left acute otitis media,382.9,H66.92,Left acute otitis media
237783006,,,15634671000119101,Left adrenal mass (disorder),Left adrenal mass,Left adrenal mass,255.9,E27.9,Left adrenal mass
193589009,,,678611000119102,Left age related nuclear cataract (disorder),Left age related nuclear cataract,Left age related nuclear cataract,366.16,H25.12,L age related nuclear cataract
387742006,,,342061000119102,Left amblyopia (disorder),Left amblyopia,Left amblyopia,368.00,H53.002,Left amblyopia (eye condition)
82649003,,,341951000119105,Left astigmatism (disorder),Left astigmatism,Left astigmatism,367.20,H52.202,Left astigmatism
57044006,,,12238511000119104,Left Bartholin's gland cyst (disorder),Left Bartholin's gland cyst,Left bartholins gland cyst,616.2,N75.0,Left bartholins gland cyst
89164003,,,12240181000119103,Left breast lump (finding),Left breast lump,Left breast lump,611.72,N63,Left breast lump
,,,63467002,Left bundle branch block (disorder),Left bundle branch block,Left bundle branch block,426.3,I44.7,LEFT BUNDLE BRANCH BLOCK
300920004,,,284871000119105,Left carotid artery atherosclerosis (disorder),Left carotid artery atherosclerosis,Atherosclerosis of left carotid artery,433.10,I65.22,Atherosclerosis of left carotid artery
64586002,,,285191000119103,Left carotid artery stenosis (disorder),Left carotid artery stenosis,Left carotid artery stenosis,433.10,I65.22,Left carotid artery stenosis
193570009,,,12239221000119100,Left cataract (disorder),Left cataract,Left cataract,366.9,H26.9,Left cataract
449710006,,,10633351000119109,Left cellulitis of leg (disorder),Left cellulitis of leg,Left leg cellulitis,682.6,L03.116,Left leg cellulitis
1482004,,,341751000119107,Left chalazion (disorder),Left chalazion,Left chalazion,373.2,H00.16,Left chalazion (eye condition)
255024002,,,348791000119109,Left choroid nevus (disorder),Left choroid nevus,Left choroid nevus,224.6,D31.32,Left choroid nevus (eye condition)
21186006,,,1088521000119106,Left chronic otitis media (disorder),Left chronic otitis media,Left chronic otitis media,382.9,H66.92,Left chronic otitis media
44057004,,,3541000119107,Left conductive hearing loss (disorder),Left conductive hearing loss,Left conductive hearing loss,389.05,H90.12,"Hearing loss, conductive, left"
253205005,,,15630451000119101,Left congenital dacryostenosis (disorder),Left congenital dacryostenosis,Left congenital dacryostenosis,743.65,Q10.5,Left congenital dacryostenosis
5361003,,,341451000119100,Left congenital nuclear cataract (disorder),Left congenital nuclear cataract,Left congenital nuclear cataract,743.33,Q12.0,Left congenital nuclear cataract
9826008,,,12236161000119108,Left conjunctivitis (disorder),Left conjunctivitis,Left conjunctivitis,372.30,H10.9,Left conjunctivitis
46152009,,,340951000119104,Left dry eye syndrome (disorder),Left dry eye syndrome,Left dry eye syndrome,375.15,H04.122,Left dry eye syndrome
91613004,,,11780681000119108,Left elbow contusion (disorder),Left elbow contusion,Left elbow contusion,923.11,S50.02XA,Left elbow contusion
16596007,,,15632611000119101,Left esotropia (disorder),Left esotropia,Left esotropia,378.00,H50.00,Left esotropia
56713002,,,1088751000119106,Left Eustachian tube dysfunction (disorder),Left Eustachian tube dysfunction,Left eustachian tube dysfunction,381.81,H69.82,Left eustachian tube dysfunction
399054005,,,15632771000119100,Left exotropia (disorder),Left exotropia,Left exotropia,378.10,H50.10,Left exotropia
414173003,,,15633091000119107,Left exudative age-related macular degeneration (disorder),Left exudative age-related macular degeneration,Left exudative age related macular degeneration,362.52,H35.32,Left exudative age related macular degeneration
128276007,,,10633191000119101,Left foot cellulitis (disorder),Left foot cellulitis,Left foot cellulitis,682.7,L03.116,Left foot cellulitis
6077001,,,308291000119105,Left foot drop (finding),Left foot drop,Left foot drop,736.79,M21.372,Left foot drop
281541006,,,11769051000119104,Left forearm muscle strain (disorder),Left forearm muscle strain,Left forearm muscle strain,841.9,S56.912A,Left forearm muscle strain
23986001,,,12239461000119106,Left glaucoma (disorder),Left glaucoma,Left glaucoma,365.9,H40.9,Left glaucoma
232079008,,,15635571000119104,Left glaucoma suspect (situation),Left glaucoma suspect,"Left glaucoma, suspect",365.00,H40.002,"Left glaucoma, suspect"
5662003,,,11775051000119109,Left hand contusion (disorder),Left hand contusion,Left hand contusion,923.20,S60.222A,Left hand contusion
202472008,,,1076731000119106,Left hand joint pain (finding),Left hand joint pain,Left hand joint pain,719.44,M79.642,Left hand joint pain
128540005,,,1088891000119106,Left hearing loss (disorder),Left hearing loss,Left hearing loss,389.9,H91.92,Left hearing loss
,,,85232009,Left heart failure (disorder),Left heart failure,Left heart failure,428.1,I50.1,Left heart failure
85232009,,,1391000119106,Left heart failure with left ejection fraction 30-40 percent (disorder),Left heart failure with left ejection fraction 30-40 percent,Heart failure w LVEF 31-40%,428.9,I50.9,Heart failure left side with ejection fraction 31-40%
85232009,,,1401000119108,Left heart failure with left ejection fraction less than or equal to 30 percent (disorder),Left heart failure with left ejection fraction less than or equal to 30 percent,Heart failure w LVEF <=30%,428.9,I50.9,Heart failure
232326009,,,1088931000119103,Left high frequency sensorineural hearing loss (disorder),Left high frequency sensorineural hearing loss,Left high frequency sensorineural hearing loss,389.15,H90.42,Left high frequency sensorineural hearing loss
285391000,,,11826591000119102,Left hip muscle strain (disorder),Left hip muscle strain,Left hip muscle strain,843.9,S76.012A,Left hip muscle strain
17883008,,,11782161000119109,Left hip sprain (disorder),Left hip sprain,Left hip sprain,843.9,S73.102A,Left hip sprain
1489008,,,340491000119104,Left hordeolum externum (disorder),Left hordeolum externum,Left hordeolum externum,373.11,H00.016,Left hordeolum externum (eye condition)
38101003,,,340461000119106,Left hyperopia (disorder),Left hyperopia,Left hyperopia,367.0,H52.02,Left hyperopia (eye condition)
18070006,,,1088371000119101,Left impacted cerumen (disorder),Left impacted cerumen,Left cerumen impaction,380.4,H61.22,Left cerumen impaction
52421005,,,678681000119108,Left incipient cataract (disorder),Left incipient cataract,Left incipient cataract,366.12,H26.9,L incipient cataract
,,,236022004,Left inguinal hernia (disorder),Left inguinal hernia,Left inguinal hernia,550.90,K40.90,Left inguinal hernia
